age,workclass,education,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
17-36,Private,High,Any, Sales,Any,Any,*,2407,0,40,Any, <=50K
17-36,?,Low,Any, ?,Any,Any,*,0,0,40,Any, <=50K
37-56,Private,Low,Any, Transport-moving,Any,Any,*,0,0,40,Any, <=50K
37-56,Private,High,Any, Prof-specialty,Any,Any,*,0,0,45,Any, >50K
17-36,Private,Medium,Any, Tech-support,Any,Any,*,0,0,58,Any, <=50K
17-36,Private,Low,Any, Craft-repair,Any,Any,*,0,0,40,Any, <=50K
17-36,Private,Medium,Any, Adm-clerical,Any,Any,*,0,0,40,Any, <=50K
37-56,Private,Low,Any, Adm-clerical,Any,Any,*,0,0,40,Any, >50K
37-56,Self-employed,Medium,Any, Exec-managerial,Any,Any,*,0,0,50,Any, >50K
17-36,?,Medium,Any, ?,Any,Any,*,0,0,40,Any, <=50K
17-36,Private,Medium,Any, Prof-specialty,Any,Any,*,0,0,32,Any, <=50K
17-36,Private,High,Any, Sales,Any,Any,*,0,0,40,Any, <=50K
17-36,Self-employed,High,Any, Sales,Any,Any,*,0,0,70,Any, >50K
17-36,Private,Medium,Any, Machine-op-inspct,Any,Any,*,0,0,40,Any, <=50K
77-90,Private,Medium,Any, Prof-specialty,Any,Any,*,0,0,20,Any, <=50K
17-36,Private,Low,Any, Other-service,Any,Any,*,0,0,40,Any, <=50K
37-56,Private,Medium,Any, Adm-clerical,Any,Any,*,0,0,40,Any, <=50K
57-76,?,Low,Any, ?,Any,Any,*,0,0,2,Any, <=50K
17-36,Private,Low,Any, Other-service,Any,Any,*,0,0,22,Any, <=50K
17-36,Government,Low,Any, Farming-fishing,Any,Any,*,0,0,40,Any, <=50K
17-36,Private,Low,Any, Sales,Any,Any,*,0,0,30,Any, <=50K
37-56,Private,High,Any, Other-service,Any,Any,*,0,0,40,Any, <=50K
37-56,Private,Low,Any, Other-service,Any,Any,*,0,0,40,Any, <=50K
57-76,Private,Low,Any, Sales,Any,Any,*,0,0,48,Any, <=50K
37-56,Private,Low,Any, Craft-repair,Any,Any,*,14344,0,40,Any, >50K
37-56,Private,Low,Any, Sales,Any,Any,*,0,0,35,Any, <=50K
37-56,Government,Low,Any, Protective-serv,Any,Any,*,0,0,40,Any, >50K
17-36,Private,High,Any, Prof-specialty,Any,Any,*,0,0,50,Any, <=50K
17-36,Private,Low,Any, Sales,Any,Any,*,0,0,40,Any, <=50K
37-56,Government,High,Any, Prof-specialty,Any,Any,*,0,0,50,Any, >50K
57-76,Private,Medium,Any, Prof-specialty,Any,Any,*,0,0,40,Any, <=50K
37-56,Private,Medium,Any, Craft-repair,Any,Any,*,0,0,40,Any, <=50K
17-36,Private,Medium,Any, Machine-op-inspct,Any,Any,*,0,0,25,Any, <=50K
17-36,Private,Low,Any, Sales,Any,Any,*,0,1573,35,Any, <=50K
17-36,Government,High,Any, Protective-serv,Any,Any,*,0,0,40,Any, >50K
17-36,Government,Medium,Any, Handlers-cleaners,Any,Any,*,0,0,50,Any, <=50K
37-56,Self-employed,High,Any, Prof-specialty,Any,Any,*,0,1902,60,Any, >50K
37-56,Private,Medium,Any, Sales,Any,Any,*,0,0,48,Any, >50K
37-56,Private,Medium,Any, Exec-managerial,Any,Any,*,0,0,40,Any, <=50K
17-36,Government,Low,Any, Other-service,Any,Any,*,0,0,40,Any, <=50K
57-76,Private,High,Any, Exec-managerial,Any,Any,*,0,0,40,Any, >50K
37-56,Private,High,Any, Exec-managerial,Any,Any,*,15024,0,60,Any, >50K
37-56,Self-employed,High,Any, Prof-specialty,Any,Any,*,0,0,50,Any, <=50K
17-36,Private,Medium,Any, Tech-support,Any,Any,*,0,0,40,Any, <=50K
17-36,Private,Low,Any, Craft-repair,Any,Any,*,0,0,40,Any, <=50K
17-36,Self-employed,Low,Any, Craft-repair,Any,Any,*,7688,0,40,Any, >50K
17-36,?,Low,Any, ?,Any,Any,*,34095,0,32,Any, <=50K
17-36,Private,Low,Any, Handlers-cleaners,Any,Any,*,0,0,40,Any, <=50K
17-36,Government,Low,Any, Adm-clerical,Any,Any,*,0,0,40,Any, <=50K
37-56,Private,Low,Any, Handlers-cleaners,Any,Any,*,0,0,40,Any, <=50K
17-36,Private,High,Any, Sales,Any,Any,*,0,0,40,Any, <=50K
37-56,Private,High,Any, Prof-specialty,Any,Any,*,0,0,40,Any, >50K
37-56,Self-employed,Low,Any, Other-service,Any,Any,*,0,1887,50,Any, >50K
17-36,Private,Medium,Any, Sales,Any,Any,*,4064,0,25,Any, <=50K
17-36,Private,Low,Any, Machine-op-inspct,Any,Any,*,0,0,40,Any, <=50K
37-56,Private,Low,Any, Handlers-cleaners,Any,Any,*,0,0,50,Any, <=50K
37-56,Self-employed,Medium,Any, Sales,Any,Any,*,0,0,50,Any, <=50K
37-56,Government,Medium,Any, Craft-repair,Any,Any,*,0,0,40,Any, >50K
37-56,Private,Medium,Any, Sales,Any,Any,*,0,0,56,Any, <=50K
17-36,Private,Low,Any, Craft-repair,Any,Any,*,0,0,41,Any, <=50K
17-36,Private,Medium,Any, Other-service,Any,Any,*,0,0,40,Any, <=50K
37-56,Private,High,Any, Exec-managerial,Any,Any,*,0,0,60,Any, <=50K
17-36,Private,High,Any, Exec-managerial,Any,Any,*,0,0,40,Any, <=50K
17-36,Government,High,Any, Prof-specialty,Any,Any,*,0,0,50,Any, >50K
17-36,Private,Medium,Any, Other-service,Any,Any,*,0,0,35,Any, <=50K
37-56,Private,High,Any, Exec-managerial,Any,Any,*,0,0,40,Any, >50K
17-36,Private,Medium,Any, Adm-clerical,Any,Any,*,0,1719,28,Any, <=50K
17-36,Private,Medium,Any, Adm-clerical,Any,Any,*,0,0,40,Any, >50K
17-36,?,Low,Any, ?,Any,Any,*,0,0,40,Any, <=50K
37-56,Private,Medium,Any, Craft-repair,Any,Any,*,0,0,40,Any, <=50K
17-36,Private,Medium,Any, Sales,Any,Any,*,0,0,60,Any, <=50K
17-36,Private,Low,Any, Other-service,Any,Any,*,0,1762,40,Any, <=50K
37-56,Self-employed,Low,Any, Craft-repair,Any,Any,*,4386,0,35,Any, <=50K
37-56,Private,High,Any, Sales,Any,Any,*,0,0,50,Any, <=50K
37-56,Private,Medium,Any, Tech-support,Any,Any,*,0,0,36,Any, <=50K
37-56,Government,High,Any, Prof-specialty,Any,Any,*,0,0,40,Any, >50K
37-56,Self-employed,Low,Any, Craft-repair,Any,Any,*,0,0,60,Any, <=50K
17-36,Private,Medium,Any, Adm-clerical,Any,Any,*,0,0,35,Any, <=50K
17-36,Private,Medium,Any, Sales,Any,Any,*,0,0,20,Any, <=50K
37-56,Private,Medium,Any, Craft-repair,Any,Any,*,0,0,40,Any, >50K
57-76,Self-employed,Low,Any, Craft-repair,Any,Any,*,0,0,40,Any, <=50K
17-36,Private,Medium,Any, Sales,Any,Any,*,0,0,40,Any, <=50K
17-36,Private,Medium,Any, Other-service,Any,Any,*,0,0,30,Any, <=50K
37-56,Private,Medium,Any, Prof-specialty,Any,Any,*,0,1564,40,Any, >50K
57-76,Private,Medium,Any, Tech-support,Any,Any,*,0,0,40,Any, <=50K
17-36,Private,Low,Any, Transport-moving,Any,Any,*,0,0,30,Any, <=50K
17-36,Private,Medium,Any, Other-service,Any,Any,*,0,0,24,Any, <=50K
17-36,Private,Low,Any, Other-service,Any,Any,*,0,0,24,Any, <=50K
57-76,Private,Low,Any, Craft-repair,Any,Any,*,0,2179,40,Any, <=50K
37-56,?,Medium,Any, ?,Any,Any,*,0,0,40,Any, <=50K
37-56,Government,Medium,Any, Adm-clerical,Any,Any,*,0,0,38,Any, <=50K
17-36,Private,Low,Any, Adm-clerical,Any,Any,*,0,0,40,Any, <=50K
17-36,Private,High,Any, Exec-managerial,Any,Any,*,0,0,40,Any, <=50K
17-36,Private,Low,Any, Craft-repair,Any,Any,*,0,0,35,Any, <=50K
37-56,?,Low,Any, ?,Any,Any,*,0,0,45,Any, >50K
37-56,Private,Low,Any, Craft-repair,Any,Any,*,0,0,46,Any, <=50K
17-36,Private,High,Any, Handlers-cleaners,Any,Any,*,0,0,40,Any, <=50K
57-76,Self-employed,Medium,Any, Sales,Any,Any,*,0,1816,2,Any, <=50K
17-36,Private,Low,Any, Craft-repair,Any,Any,*,0,0,60,Any, <=50K
37-56,Private,High,Any, Other-service,Any,Any,*,0,0,50,Any, <=50K
57-76,?,Low,Any, ?,Any,Any,*,0,0,20,Any, <=50K
17-36,Private,Low,Any, Other-service,Any,Any,*,0,0,40,Any, <=50K
37-56,Self-employed,High,Any, Exec-managerial,Any,Any,*,0,0,40,Any, <=50K
17-36,Private,Low,Any, Exec-managerial,Any,Any,*,0,0,40,Any, <=50K
37-56,Self-employed,High,Any, Sales,Any,Any,*,0,0,40,Any, >50K
17-36,Private,Medium,Any, Other-service,Any,Any,*,0,0,40,Any, <=50K
37-56,Government,Medium,Any, Exec-managerial,Any,Any,*,0,0,42,Any, <=50K
37-56,Government,High,Any, Protective-serv,Any,Any,*,0,0,40,Any, <=50K
17-36,Private,Low,Any, Handlers-cleaners,Any,Any,*,0,0,16,Any, <=50K
57-76,Government,Medium,Any, Prof-specialty,Any,Any,*,0,0,20,Any, <=50K
17-36,Private,Low,Any, Other-service,Any,Any,*,0,1980,40,Any, <=50K
17-36,Government,Low,Any, Protective-serv,Any,Any,*,0,0,40,Any, <=50K
37-56,Private,Medium,Any, Sales,Any,Any,*,0,1977,40,Any, >50K
17-36,Private,High,Any, Craft-repair,Any,Any,*,0,0,50,Any, <=50K
17-36,Government,High,Any, Prof-specialty,Any,Any,*,0,0,40,Any, >50K
17-36,Private,Low,Any, Sales,Any,Any,*,0,0,25,Any, <=50K
17-36,Private,Low,Any, Craft-repair,Any,Any,*,0,0,40,Any, <=50K
17-36,Private,Low,Any, Handlers-cleaners,Any,Any,*,0,0,40,Any, <=50K
17-36,Private,Low,Any, Other-service,Any,Any,*,0,0,12,Any, <=50K
17-36,Private,High,Any, Prof-specialty,Any,Any,*,0,0,65,Any, <=50K
37-56,Government,Medium,Any, Exec-managerial,Any,Any,*,0,0,38,Any, >50K
37-56,Private,Medium,Any, Adm-clerical,Any,Any,*,0,0,40,Any, <=50K
17-36,Private,Medium,Any, Craft-repair,Any,Any,*,0,0,45,Any, <=50K
37-56,Private,Low,Any, Machine-op-inspct,Any,Any,*,0,0,40,Any, >50K
37-56,Government,Medium,Any, Adm-clerical,Any,Any,*,0,0,42,Any, >50K
17-36,Private,Low,Any, Adm-clerical,Any,Any,*,0,0,40,Any, <=50K
37-56,Self-employed,High,Any, Exec-managerial,Any,Any,*,0,0,40,Any, <=50K
37-56,?,High,Any, ?,Any,Any,*,0,0,50,Any, <=50K
17-36,Private,High,Any, Prof-specialty,Any,Any,*,0,0,50,Any, <=50K
57-76,Government,High,Any, Prof-specialty,Any,Any,*,0,0,1,Any, >50K
37-56,Private,Medium,Any, Machine-op-inspct,Any,Any,*,0,0,28,Any, <=50K
17-36,Private,Medium,Any, Machine-op-inspct,Any,Any,*,0,0,40,Any, <=50K
37-56,Government,High,Any, Craft-repair,Any,Any,*,0,0,40,Any, <=50K
37-56,Private,Medium,Any, Tech-support,Any,Any,*,0,0,45,Any, <=50K
37-56,Government,High,Any, Tech-support,Any,Any,*,0,0,24,Any, <=50K
17-36,Private,Low,Any, Transport-moving,Any,Any,*,0,0,40,Any, <=50K
17-36,Private,Medium,Any, Craft-repair,Any,Any,*,0,0,40,Any, <=50K
37-56,Government,High,Any, Exec-managerial,Any,Any,*,14084,0,55,Any, >50K
17-36,Private,High,Any, Prof-specialty,Any,Any,*,7298,0,40,Any, >50K
17-36,Self-employed,Low,Any, Sales,Any,Any,*,0,0,40,Any, <=50K
17-36,Private,High,Any, Prof-specialty,Any,Any,*,0,1876,40,Any, <=50K
17-36,?,Low,Any, ?,Any,Any,*,0,0,40,Any, <=50K
37-56,Private,High,Any, Exec-managerial,Any,Any,*,0,0,50,Any, >50K
37-56,Government,Medium,Any, Prof-specialty,Any,Any,*,0,1340,40,Any, <=50K
37-56,Government,Low,Any, Adm-clerical,Any,Any,*,0,0,35,Any, <=50K
17-36,Private,Low,Any, Sales,Any,Any,*,0,0,40,Any, <=50K
17-36,Private,High,Any, Other-service,Any,Any,*,7298,0,36,Any, >50K
17-36,Private,Low,Any, Craft-repair,Any,Any,*,0,0,60,Any, <=50K
57-76,Self-employed,Low,Any, Sales,Any,Any,*,15024,0,35,Any, >50K
17-36,Private,Low,Any, Sales,Any,Any,*,0,0,12,Any, <=50K
37-56,Government,Low,Any, Transport-moving,Any,Any,*,0,0,40,Any, <=50K
37-56,Private,Low,Any, Craft-repair,Any,Any,*,0,0,40,Any, >50K
17-36,Private,Medium,Any, Sales,Any,Any,*,0,0,40,Any, <=50K
57-76,Private,Low,Any, Craft-repair,Any,Any,*,0,0,40,Any, <=50K
37-56,Self-employed,Low,Any, Machine-op-inspct,Any,Any,*,0,0,40,Any, >50K
37-56,Private,High,Any, Exec-managerial,Any,Any,*,0,0,60,Any, >50K
37-56,Private,Medium,Any, Sales,Any,Any,*,0,0,40,Any, <=50K
37-56,Private,High,Any, Sales,Any,Any,*,0,0,50,Any, <=50K
37-56,Private,High,Any, Prof-specialty,Any,Any,*,0,0,55,Any, <=50K
17-36,Private,Low,Any, Craft-repair,Any,Any,*,0,0,40,Any, <=50K
17-36,Private,Medium,Any, Handlers-cleaners,Any,Any,*,0,0,40,Any, <=50K
57-76,?,Low,Any, ?,Any,Any,*,0,0,40,Any, <=50K
77-90,Private,Low,Any, Other-service,Any,Any,*,0,2206,40,Any, <=50K
37-56,Private,Low,Any, Adm-clerical,Any,Any,*,0,0,20,Any, <=50K
37-56,Government,Low,Any, Machine-op-inspct,Any,Any,*,0,0,35,Any, <=50K
17-36,Private,Low,Any, Sales,Any,Any,*,0,0,40,Any, <=50K
57-76,?,Low,Any, ?,Any,Any,*,0,0,10,Any, <=50K
57-76,Self-employed,Low,Any, Farming-fishing,Any,Any,*,1409,0,50,Any, <=50K
57-76,Private,Medium,Any, Adm-clerical,Any,Any,*,0,0,20,Any, <=50K
57-76,Private,Low,Any, Adm-clerical,Any,Any,*,0,0,40,Any, <=50K
17-36,Private,Low,Any, Transport-moving,Any,Any,*,3674,0,40,Any, <=50K
37-56,Private,Low,Any, Sales,Any,Any,*,0,0,38,Any, <=50K
17-36,Private,Medium,Any, Adm-clerical,Any,Any,*,0,0,42,Any, <=50K
17-36,Private,Medium,Any, Craft-repair,Any,Any,*,0,0,40,Any, <=50K
17-36,Private,High,Any, Prof-specialty,Any,Any,*,0,0,55,Any, >50K
57-76,Government,Low,Any, Other-service,Any,Any,*,0,0,40,Any, <=50K
37-56,Government,Medium,Any, Adm-clerical,Any,Any,*,0,0,38,Any, <=50K
37-56,Private,High,Any, Exec-managerial,Any,Any,*,0,0,50,Any, >50K
37-56,Government,High,Any, Exec-managerial,Any,Any,*,0,0,70,Any, >50K
17-36,Private,Low,Any, Transport-moving,Any,Any,*,0,0,40,Any, <=50K
37-56,Private,High,Any, Prof-specialty,Any,Any,*,0,0,40,Any, >50K
37-56,Self-employed,Low,Any, Other-service,Any,Any,*,0,0,20,Any, <=50K
17-36,Government,Medium,Any, Protective-serv,Any,Any,*,0,0,50,Any, <=50K
17-36,?,Medium,Any, ?,Any,Any,*,0,0,20,Any, <=50K
37-56,Private,Medium,Any, Craft-repair,Any,Any,*,0,1741,40,Any, <=50K
37-56,Private,Low,Any, Adm-clerical,Any,Any,*,0,0,35,Any, <=50K
57-76,Private,Low,Any, Adm-clerical,Any,Any,*,0,0,45,Any, >50K
17-36,Private,Low,Any, Other-service,Any,Any,*,0,0,34,Any, <=50K
37-56,Private,Medium,Any, Tech-support,Any,Any,*,0,1977,60,Any, >50K
37-56,Private,Low,Any, Adm-clerical,Any,Any,*,0,0,40,Any, <=50K
37-56,Private,High,Any, Prof-specialty,Any,Any,*,0,0,40,Any, >50K
37-56,Private,High,Any, Adm-clerical,Any,Any,*,0,0,40,Any, <=50K
57-76,Government,Low,Any, Other-service,Any,Any,*,0,0,30,Any, <=50K
17-36,Government,Medium,Any, Adm-clerical,Any,Any,*,0,0,40,Any, <=50K
57-76,Private,Medium,Any, Transport-moving,Any,Any,*,0,0,20,Any, <=50K
37-56,Self-employed,Low,Any, Farming-fishing,Any,Any,*,0,0,40,Any, >50K
17-36,Private,Low,Any, Other-service,Any,Any,*,0,0,40,Any, <=50K
17-36,Private,Low,Any, Other-service,Any,Any,*,0,0,30,Any, <=50K
37-56,Private,Medium,Any, Exec-managerial,Any,Any,*,0,0,45,Any, <=50K
37-56,Private,Low,Any, Craft-repair,Any,Any,*,0,0,40,Any, <=50K
17-36,Private,High,Any, Prof-specialty,Any,Any,*,0,0,40,Any, <=50K
37-56,Private,Low,Any, Sales,Any,Any,*,0,0,60,Any, <=50K
17-36,Private,Low,Any, Other-service,Any,Any,*,0,0,12,Any, <=50K
57-76,Private,Medium,Any, Sales,Any,Any,*,4064,0,40,Any, <=50K
17-36,Private,Low,Any, Craft-repair,Any,Any,*,0,0,40,Any, <=50K
37-56,Self-employed,Medium,Any, Exec-managerial,Any,Any,*,0,0,75,Any, >50K
17-36,?,Medium,Any, ?,Any,Any,*,0,0,24,Any, <=50K
57-76,Private,Low,Any, Exec-managerial,Any,Any,*,0,0,40,Any, >50K
17-36,Private,High,Any, Prof-specialty,Any,Any,*,0,0,45,Any, <=50K
17-36,Private,Low,Any, Craft-repair,Any,Any,*,0,0,40,Any, >50K
57-76,Private,Low,Any, Exec-managerial,Any,Any,*,0,0,40,Any, >50K
17-36,Private,Low,Any, Other-service,Any,Any,*,1055,0,24,Any, <=50K
37-56,Self-employed,High,Any, Farming-fishing,Any,Any,*,2407,0,98,Any, <=50K
17-36,Government,High,Any, Prof-specialty,Any,Any,*,0,0,35,Any, <=50K
17-36,Private,Low,Any, Prof-specialty,Any,Any,*,0,0,40,Any, <=50K
37-56,Private,Low,Any, Handlers-cleaners,Any,Any,*,0,0,40,Any, <=50K
37-56,Private,Medium,Any, Craft-repair,Any,Any,*,7298,0,40,Any, >50K
17-36,Private,Medium,Any, Exec-managerial,Any,Any,*,0,0,40,Any, <=50K
17-36,Private,Medium,Any, Tech-support,Any,Any,*,0,0,40,Any, <=50K
17-36,Private,Medium,Any, Machine-op-inspct,Any,Any,*,7298,0,48,Any, >50K
17-36,Private,High,Any, Prof-specialty,Any,Any,*,0,0,15,Any, <=50K
37-56,Government,Medium,Any, Craft-repair,Any,Any,*,5178,0,40,Any, >50K
17-36,Private,Medium,Any, Sales,Any,Any,*,0,0,45,Any, <=50K
57-76,Private,High,Any, Prof-specialty,Any,Any,*,0,0,42,Any, <=50K
17-36,Private,Low,Any, Handlers-cleaners,Any,Any,*,0,0,40,Any, <=50K
57-76,Government,High,Any, Sales,Any,Any,*,15024,0,40,Any, >50K
37-56,Private,High,Any, Prof-specialty,Any,Any,*,0,0,60,Any, >50K
37-56,Private,Medium,Any, Other-service,Any,Any,*,0,0,45,Any, <=50K
17-36,Private,High,Any, Exec-managerial,Any,Any,*,0,0,40,Any, <=50K
37-56,Private,Low,Any, Craft-repair,Any,Any,*,0,0,40,Any, <=50K
17-36,Private,High,Any, Prof-specialty,Any,Any,*,0,0,45,Any, <=50K
17-36,Private,Low,Any, Prof-specialty,Any,Any,*,0,0,40,Any, <=50K
17-36,Government,High,Any, Protective-serv,Any,Any,*,0,0,56,Any, <=50K
17-36,Private,Medium,Any, Sales,Any,Any,*,0,0,45,Any, <=50K
17-36,Private,High,Any, Tech-support,Any,Any,*,0,0,40,Any, <=50K
57-76,Private,Low,Any, Transport-moving,Any,Any,*,0,0,16,Any, <=50K
37-56,Self-employed,High,Any, Sales,Any,Any,*,0,0,60,Any, <=50K
37-56,?,High,Any, ?,Any,Any,*,3464,0,40,Any, <=50K
17-36,Private,Low,Any, Craft-repair,Any,Any,*,0,0,40,Any, <=50K
37-56,Private,Low,Any, Sales,Any,Any,*,0,0,80,Any, <=50K
37-56,Private,High,Any, Adm-clerical,Any,Any,*,7688,0,40,Any, >50K
17-36,Private,Medium,Any, Other-service,Any,Any,*,0,0,25,Any, <=50K
17-36,Private,Low,Any, Transport-moving,Any,Any,*,0,0,45,Any, >50K
37-56,Private,Low,Any, Sales,Any,Any,*,4386,0,40,Any, >50K
17-36,Private,Medium,Any, Adm-clerical,Any,Any,*,0,0,40,Any, <=50K
37-56,Private,Low,Any, Adm-clerical,Any,Any,*,0,0,40,Any, <=50K
17-36,Private,Medium,Any, Tech-support,Any,Any,*,0,0,45,Any, <=50K
37-56,Private,Medium,Any, Prof-specialty,Any,Any,*,0,0,33,Any, <=50K
17-36,Private,Medium,Any, Adm-clerical,Any,Any,*,0,0,40,Any, >50K
37-56,Self-employed,Medium,Any, Farming-fishing,Any,Any,*,0,0,54,Any, >50K
17-36,Private,High,Any, Sales,Any,Any,*,0,0,40,Any, <=50K
17-36,Private,High,Any, Exec-managerial,Any,Any,*,7298,0,35,Any, >50K
17-36,?,Medium,Any, ?,Any,Any,*,0,0,25,Any, <=50K
17-36,Self-employed,High,Any, Prof-specialty,Any,Any,*,0,0,40,Any, >50K
17-36,Private,Medium,Any, Sales,Any,Any,*,0,0,15,Any, <=50K
17-36,Private,Medium,Any, Machine-op-inspct,Any,Any,*,0,0,40,Any, <=50K
77-90,Self-employed,Medium,Any, Sales,Any,Any,*,0,0,40,Any, <=50K
17-36,Private,Low,Any, Machine-op-inspct,Any,Any,*,0,0,40,Any, <=50K
17-36,Private,Medium,Any, Tech-support,Any,Any,*,0,0,40,Any, <=50K
57-76,Private,Low,Any, Other-service,Any,Any,*,0,0,24,Any, <=50K
37-56,Self-employed,Low,Any, Exec-managerial,Any,Any,*,0,0,40,Any, <=50K
37-56,Private,Medium,Any, Craft-repair,Any,Any,*,0,1485,50,Any, <=50K
17-36,Private,Low,Any, Transport-moving,Any,Any,*,0,0,45,Any, <=50K
17-36,Private,Low,Any, Exec-managerial,Any,Any,*,0,0,40,Any, <=50K
57-76,Self-employed,High,Any, Craft-repair,Any,Any,*,0,0,10,Any, <=50K
57-76,Self-employed,Low,Any, Farming-fishing,Any,Any,*,0,0,45,Any, <=50K
17-36,?,Medium,Any, ?,Any,Any,*,0,0,15,Any, <=50K
37-56,Private,Medium,Any, Prof-specialty,Any,Any,*,0,1887,50,Any, >50K
57-76,Self-employed,Low,Any, Handlers-cleaners,Any,Any,*,0,0,40,Any, <=50K
57-76,Private,Low,Any, Transport-moving,Any,Any,*,2050,0,55,Any, <=50K
37-56,Private,Medium,Any, Craft-repair,Any,Any,*,0,0,45,Any, <=50K
