age,workclass,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
17-36,Not working,Any,4,Any, ?, Not-in-family,Any, Male,0,0,40,Any, <=50K
37-56,Working,Any,9,Any, Transport-moving, Husband,Any, Male,0,0,40,Any, <=50K
37-56,Working,Any,16,Any, Prof-specialty, Husband,Any, Male,0,0,45,Any, >50K
17-36,Working,Any,10,Any, Tech-support, Not-in-family,Any, Male,0,0,58,Any, <=50K
17-36,Working,Any,9,Any, Craft-repair, Husband,Any, Male,0,0,40,Any, <=50K
17-36,Working,Any,10,Any, Adm-clerical, Not-in-family,Any, Female,0,0,40,Any, <=50K
37-56,Working,Any,9,Any, Adm-clerical, Wife,Any, Female,0,0,40,Any, >50K
37-56,Working,Any,10,Any, Exec-managerial, Husband,Any, Male,0,0,50,Any, >50K
17-36,Not working,Any,10,Any, ?, Own-child,Any, Male,0,0,40,Any, <=50K
17-36,Working,Any,10,Any, Prof-specialty, Own-child,Any, Male,0,0,32,Any, <=50K
17-36,Working,Any,13,Any, Sales, Own-child,Any, Female,0,0,40,Any, <=50K
17-36,Working,Any,13,Any, Sales, Husband,Any, Male,0,0,70,Any, >50K
17-36,Working,Any,10,Any, Machine-op-inspct, Not-in-family,Any, Male,0,0,40,Any, <=50K
77-90,Working,Any,10,Any, Prof-specialty, Other-relative,Any, Male,0,0,20,Any, <=50K
17-36,Working,Any,9,Any, Other-service, Own-child,Any, Male,0,0,40,Any, <=50K
37-56,Working,Any,12,Any, Adm-clerical, Husband,Any, Male,0,0,40,Any, <=50K
57-76,Not working,Any,6,Any, ?, Husband,Any, Male,0,0,2,Any, <=50K
17-36,Working,Any,7,Any, Other-service, Own-child,Any, Female,0,0,22,Any, <=50K
17-36,Working,Any,4,Any, Farming-fishing, Husband,Any, Male,0,0,40,Any, <=50K
17-36,Working,Any,9,Any, Sales, Not-in-family,Any, Male,0,0,30,Any, <=50K
37-56,Working,Any,13,Any, Other-service, Husband,Any, Male,0,0,40,Any, <=50K
37-56,Working,Any,9,Any, Other-service, Wife,Any, Female,0,0,40,Any, <=50K
57-76,Working,Any,9,Any, Sales, Husband,Any, Male,0,0,48,Any, <=50K
37-56,Working,Any,9,Any, Craft-repair, Not-in-family,Any, Female,14344,0,40,Any, >50K
37-56,Working,Any,9,Any, Sales, Own-child,Any, Female,0,0,35,Any, <=50K
37-56,Working,Any,9,Any, Protective-serv, Husband,Any, Male,0,0,40,Any, >50K
17-36,Working,Any,14,Any, Prof-specialty, Husband,Any, Male,0,0,50,Any, <=50K
17-36,Working,Any,5,Any, Sales, Not-in-family,Any, Male,0,0,40,Any, <=50K
37-56,Working,Any,16,Any, Prof-specialty, Not-in-family,Any, Female,0,0,50,Any, >50K
57-76,Working,Any,11,Any, Prof-specialty, Husband,Any, Male,0,0,40,Any, <=50K
37-56,Working,Any,10,Any, Craft-repair, Unmarried,Any, Female,0,0,40,Any, <=50K
17-36,Working,Any,10,Any, Machine-op-inspct, Unmarried,Any, Female,0,0,25,Any, <=50K
17-36,Working,Any,9,Any, Sales, Wife,Any, Female,0,1573,35,Any, <=50K
17-36,Working,Any,13,Any, Protective-serv, Husband,Any, Male,0,0,40,Any, >50K
17-36,Working,Any,10,Any, Handlers-cleaners, Not-in-family,Any, Male,0,0,50,Any, <=50K
37-56,Working,Any,16,Any, Prof-specialty, Husband,Any, Male,0,1902,60,Any, >50K
37-56,Working,Any,10,Any, Sales, Husband,Any, Male,0,0,48,Any, >50K
37-56,Working,Any,12,Any, Exec-managerial, Unmarried,Any, Female,0,0,40,Any, <=50K
17-36,Working,Any,9,Any, Other-service, Own-child,Any, Male,0,0,40,Any, <=50K
57-76,Working,Any,14,Any, Exec-managerial, Husband,Any, Male,0,0,40,Any, >50K
37-56,Working,Any,13,Any, Exec-managerial, Husband,Any, Male,15024,0,60,Any, >50K
37-56,Working,Any,14,Any, Prof-specialty, Not-in-family,Any, Female,0,0,50,Any, <=50K
17-36,Working,Any,10,Any, Tech-support, Own-child,Any, Female,0,0,40,Any, <=50K
17-36,Working,Any,9,Any, Craft-repair, Not-in-family,Any, Male,0,0,40,Any, <=50K
17-36,Working,Any,9,Any, Craft-repair, Husband,Any, Male,7688,0,40,Any, >50K
17-36,Not working,Any,6,Any, ?, Own-child,Any, Female,34095,0,32,Any, <=50K
17-36,Working,Any,7,Any, Handlers-cleaners, Own-child,Any, Male,0,0,40,Any, <=50K
17-36,Working,Any,9,Any, Adm-clerical, Not-in-family,Any, Female,0,0,40,Any, <=50K
37-56,Working,Any,9,Any, Handlers-cleaners, Husband,Any, Male,0,0,40,Any, <=50K
17-36,Working,Any,13,Any, Sales, Other-relative,Any, Male,0,0,40,Any, <=50K
37-56,Working,Any,15,Any, Prof-specialty, Husband,Any, Male,0,0,40,Any, >50K
37-56,Working,Any,9,Any, Other-service, Husband,Any, Male,0,1887,50,Any, >50K
17-36,Working,Any,10,Any, Sales, Wife,Any, Female,4064,0,25,Any, <=50K
17-36,Working,Any,9,Any, Machine-op-inspct, Own-child,Any, Female,0,0,40,Any, <=50K
37-56,Working,Any,5,Any, Handlers-cleaners, Husband,Any, Male,0,0,50,Any, <=50K
37-56,Working,Any,10,Any, Sales, Husband,Any, Male,0,0,50,Any, <=50K
37-56,Working,Any,11,Any, Craft-repair, Husband,Any, Male,0,0,40,Any, >50K
37-56,Working,Any,10,Any, Sales, Husband,Any, Male,0,0,56,Any, <=50K
17-36,Working,Any,9,Any, Craft-repair, Not-in-family,Any, Male,0,0,41,Any, <=50K
17-36,Working,Any,10,Any, Other-service, Own-child,Any, Female,0,0,40,Any, <=50K
37-56,Working,Any,13,Any, Exec-managerial, Husband,Any, Male,0,0,60,Any, <=50K
17-36,Working,Any,13,Any, Exec-managerial, Own-child,Any, Male,0,0,40,Any, <=50K
17-36,Working,Any,13,Any, Prof-specialty, Husband,Any, Male,0,0,50,Any, >50K
17-36,Working,Any,10,Any, Other-service, Own-child,Any, Male,0,0,35,Any, <=50K
37-56,Working,Any,13,Any, Exec-managerial, Wife,Any, Female,0,0,40,Any, >50K
17-36,Working,Any,10,Any, Adm-clerical, Own-child,Any, Female,0,1719,28,Any, <=50K
17-36,Working,Any,12,Any, Adm-clerical, Husband,Any, Male,0,0,40,Any, >50K
17-36,Not working,Any,9,Any, ?, Husband,Any, Male,0,0,40,Any, <=50K
37-56,Working,Any,10,Any, Craft-repair, Not-in-family,Any, Male,0,0,40,Any, <=50K
17-36,Working,Any,12,Any, Sales, Not-in-family,Any, Female,0,0,60,Any, <=50K
17-36,Working,Any,9,Any, Other-service, Not-in-family,Any, Female,0,1762,40,Any, <=50K
37-56,Working,Any,9,Any, Craft-repair, Husband,Any, Male,4386,0,35,Any, <=50K
37-56,Working,Any,13,Any, Sales, Husband,Any, Male,0,0,50,Any, <=50K
37-56,Working,Any,12,Any, Tech-support, Not-in-family,Any, Female,0,0,36,Any, <=50K
37-56,Working,Any,14,Any, Prof-specialty, Husband,Any, Male,0,0,40,Any, >50K
37-56,Working,Any,9,Any, Craft-repair, Husband,Any, Male,0,0,60,Any, <=50K
17-36,Working,Any,11,Any, Adm-clerical, Wife,Any, Female,0,0,35,Any, <=50K
17-36,Working,Any,10,Any, Sales, Own-child,Any, Male,0,0,20,Any, <=50K
37-56,Working,Any,10,Any, Craft-repair, Husband,Any, Male,0,0,40,Any, >50K
57-76,Working,Any,9,Any, Craft-repair, Husband,Any, Male,0,0,40,Any, <=50K
17-36,Working,Any,10,Any, Sales, Own-child,Any, Female,0,0,40,Any, <=50K
17-36,Working,Any,10,Any, Other-service, Own-child,Any, Male,0,0,30,Any, <=50K
37-56,Working,Any,11,Any, Prof-specialty, Not-in-family,Any, Female,0,1564,40,Any, >50K
57-76,Working,Any,10,Any, Tech-support, Other-relative,Any, Male,0,0,40,Any, <=50K
17-36,Working,Any,9,Any, Transport-moving, Unmarried,Any, Female,0,0,30,Any, <=50K
17-36,Working,Any,10,Any, Other-service, Husband,Any, Male,0,0,24,Any, <=50K
17-36,Working,Any,9,Any, Other-service, Unmarried,Any, Female,0,0,24,Any, <=50K
57-76,Working,Any,7,Any, Craft-repair, Husband,Any, Male,0,2179,40,Any, <=50K
37-56,Not working,Any,10,Any, ?, Not-in-family,Any, Female,0,0,40,Any, <=50K
37-56,Working,Any,10,Any, Adm-clerical, Unmarried,Any, Female,0,0,38,Any, <=50K
17-36,Working,Any,9,Any, Adm-clerical, Not-in-family,Any, Female,0,0,40,Any, <=50K
17-36,Working,Any,13,Any, Exec-managerial, Other-relative,Any, Female,0,0,40,Any, <=50K
17-36,Working,Any,9,Any, Craft-repair, Own-child,Any, Male,0,0,35,Any, <=50K
37-56,Not working,Any,9,Any, ?, Not-in-family,Any, Male,0,0,45,Any, >50K
37-56,Working,Any,9,Any, Craft-repair, Husband,Any, Male,0,0,46,Any, <=50K
17-36,Working,Any,13,Any, Handlers-cleaners, Not-in-family,Any, Male,0,0,40,Any, <=50K
57-76,Working,Any,10,Any, Sales, Unmarried,Any, Male,0,1816,2,Any, <=50K
17-36,Working,Any,9,Any, Craft-repair, Not-in-family,Any, Male,0,0,60,Any, <=50K
37-56,Working,Any,13,Any, Other-service, Other-relative,Any, Male,0,0,50,Any, <=50K
57-76,Not working,Any,2,Any, ?, Not-in-family,Any, Female,0,0,20,Any, <=50K
17-36,Working,Any,9,Any, Other-service, Unmarried,Any, Female,0,0,40,Any, <=50K
37-56,Working,Any,14,Any, Exec-managerial, Unmarried,Any, Female,0,0,40,Any, <=50K
17-36,Working,Any,9,Any, Exec-managerial, Not-in-family,Any, Female,0,0,40,Any, <=50K
37-56,Working,Any,14,Any, Sales, Husband,Any, Male,0,0,40,Any, >50K
17-36,Working,Any,10,Any, Other-service, Unmarried,Any, Female,0,0,40,Any, <=50K
37-56,Working,Any,12,Any, Exec-managerial, Not-in-family,Any, Male,0,0,42,Any, <=50K
37-56,Working,Any,14,Any, Protective-serv, Unmarried,Any, Male,0,0,40,Any, <=50K
17-36,Working,Any,7,Any, Handlers-cleaners, Own-child,Any, Male,0,0,16,Any, <=50K
57-76,Working,Any,11,Any, Prof-specialty, Not-in-family,Any, Female,0,0,20,Any, <=50K
17-36,Working,Any,9,Any, Other-service, Not-in-family,Any, Male,0,1980,40,Any, <=50K
17-36,Working,Any,9,Any, Protective-serv, Husband,Any, Male,0,0,40,Any, <=50K
37-56,Working,Any,10,Any, Sales, Husband,Any, Male,0,1977,40,Any, >50K
17-36,Working,Any,13,Any, Craft-repair, Not-in-family,Any, Male,0,0,50,Any, <=50K
17-36,Working,Any,13,Any, Prof-specialty, Husband,Any, Male,0,0,40,Any, >50K
17-36,Working,Any,9,Any, Sales, Unmarried,Any, Female,0,0,25,Any, <=50K
17-36,Working,Any,9,Any, Craft-repair, Own-child,Any, Male,0,0,40,Any, <=50K
17-36,Working,Any,9,Any, Handlers-cleaners, Not-in-family,Any, Male,0,0,40,Any, <=50K
17-36,Working,Any,9,Any, Other-service, Own-child,Any, Male,0,0,12,Any, <=50K
17-36,Working,Any,13,Any, Prof-specialty, Husband,Any, Male,0,0,65,Any, <=50K
37-56,Working,Any,10,Any, Exec-managerial, Husband,Any, Male,0,0,38,Any, >50K
37-56,Working,Any,10,Any, Adm-clerical, Not-in-family,Any, Female,0,0,40,Any, <=50K
17-36,Working,Any,10,Any, Craft-repair, Not-in-family,Any, Male,0,0,45,Any, <=50K
37-56,Working,Any,4,Any, Machine-op-inspct, Husband,Any, Male,0,0,40,Any, >50K
37-56,Working,Any,10,Any, Adm-clerical, Husband,Any, Male,0,0,42,Any, >50K
17-36,Working,Any,9,Any, Adm-clerical, Husband,Any, Male,0,0,40,Any, <=50K
37-56,Working,Any,13,Any, Exec-managerial, Not-in-family,Any, Female,0,0,40,Any, <=50K
37-56,Not working,Any,13,Any, ?, Not-in-family,Any, Female,0,0,50,Any, <=50K
17-36,Working,Any,14,Any, Prof-specialty, Wife,Any, Female,0,0,50,Any, <=50K
57-76,Working,Any,16,Any, Prof-specialty, Husband,Any, Male,0,0,1,Any, >50K
37-56,Working,Any,10,Any, Machine-op-inspct, Not-in-family,Any, Female,0,0,28,Any, <=50K
17-36,Working,Any,10,Any, Machine-op-inspct, Husband,Any, Male,0,0,40,Any, <=50K
37-56,Working,Any,13,Any, Craft-repair, Husband,Any, Male,0,0,40,Any, <=50K
37-56,Working,Any,10,Any, Tech-support, Husband,Any, Male,0,0,45,Any, <=50K
37-56,Working,Any,13,Any, Tech-support, Husband,Any, Male,0,0,24,Any, <=50K
17-36,Working,Any,3,Any, Transport-moving, Other-relative,Any, Male,0,0,40,Any, <=50K
17-36,Working,Any,10,Any, Craft-repair, Not-in-family,Any, Male,0,0,40,Any, <=50K
37-56,Working,Any,14,Any, Exec-managerial, Not-in-family,Any, Female,14084,0,55,Any, >50K
17-36,Working,Any,14,Any, Prof-specialty, Other-relative,Any, Male,7298,0,40,Any, >50K
17-36,Working,Any,9,Any, Sales, Not-in-family,Any, Male,0,0,40,Any, <=50K
17-36,Working,Any,14,Any, Prof-specialty, Not-in-family,Any, Female,0,1876,40,Any, <=50K
17-36,Not working,Any,9,Any, ?, Own-child,Any, Male,0,0,40,Any, <=50K
37-56,Working,Any,13,Any, Exec-managerial, Husband,Any, Male,0,0,50,Any, >50K
37-56,Working,Any,10,Any, Prof-specialty, Not-in-family,Any, Female,0,1340,40,Any, <=50K
37-56,Working,Any,9,Any, Adm-clerical, Unmarried,Any, Female,0,0,35,Any, <=50K
17-36,Working,Any,7,Any, Sales, Own-child,Any, Female,0,0,40,Any, <=50K
17-36,Working,Any,13,Any, Other-service, Husband,Any, Male,7298,0,36,Any, >50K
17-36,Working,Any,9,Any, Craft-repair, Not-in-family,Any, Male,0,0,60,Any, <=50K
57-76,Working,Any,9,Any, Sales, Wife,Any, Female,15024,0,35,Any, >50K
17-36,Working,Any,7,Any, Sales, Own-child,Any, Female,0,0,12,Any, <=50K
37-56,Working,Any,9,Any, Transport-moving, Husband,Any, Male,0,0,40,Any, <=50K
37-56,Working,Any,9,Any, Craft-repair, Husband,Any, Male,0,0,40,Any, >50K
17-36,Working,Any,10,Any, Sales, Not-in-family,Any, Female,0,0,40,Any, <=50K
57-76,Working,Any,9,Any, Craft-repair, Husband,Any, Male,0,0,40,Any, <=50K
37-56,Working,Any,4,Any, Machine-op-inspct, Husband,Any, Male,0,0,40,Any, >50K
37-56,Working,Any,13,Any, Exec-managerial, Not-in-family,Any, Male,0,0,60,Any, >50K
37-56,Working,Any,12,Any, Sales, Not-in-family,Any, Female,0,0,40,Any, <=50K
37-56,Working,Any,13,Any, Sales, Husband,Any, Male,0,0,50,Any, <=50K
37-56,Working,Any,13,Any, Prof-specialty, Husband,Any, Male,0,0,55,Any, <=50K
17-36,Working,Any,6,Any, Craft-repair, Not-in-family,Any, Male,0,0,40,Any, <=50K
17-36,Working,Any,10,Any, Handlers-cleaners, Husband,Any, Male,0,0,40,Any, <=50K
57-76,Not working,Any,2,Any, ?, Not-in-family,Any, Male,0,0,40,Any, <=50K
77-90,Working,Any,9,Any, Other-service, Not-in-family,Any, Male,0,2206,40,Any, <=50K
37-56,Working,Any,9,Any, Adm-clerical, Husband,Any, Male,0,0,20,Any, <=50K
37-56,Working,Any,1,Any, Machine-op-inspct, Not-in-family,Any, Female,0,0,35,Any, <=50K
17-36,Working,Any,9,Any, Sales, Own-child,Any, Female,0,0,40,Any, <=50K
57-76,Not working,Any,6,Any, ?, Not-in-family,Any, Female,0,0,10,Any, <=50K
57-76,Working,Any,9,Any, Farming-fishing, Husband,Any, Male,1409,0,50,Any, <=50K
57-76,Working,Any,11,Any, Adm-clerical, Not-in-family,Any, Female,0,0,20,Any, <=50K
57-76,Working,Any,9,Any, Adm-clerical, Not-in-family,Any, Female,0,0,40,Any, <=50K
17-36,Working,Any,7,Any, Transport-moving, Not-in-family,Any, Male,3674,0,40,Any, <=50K
37-56,Working,Any,9,Any, Sales, Unmarried,Any, Female,0,0,38,Any, <=50K
17-36,Working,Any,10,Any, Adm-clerical, Not-in-family,Any, Male,0,0,42,Any, <=50K
17-36,Working,Any,10,Any, Craft-repair, Other-relative,Any, Female,0,0,40,Any, <=50K
17-36,Working,Any,15,Any, Prof-specialty, Not-in-family,Any, Male,0,0,55,Any, >50K
57-76,Working,Any,9,Any, Other-service, Husband,Any, Male,0,0,40,Any, <=50K
37-56,Working,Any,10,Any, Adm-clerical, Not-in-family,Any, Female,0,0,38,Any, <=50K
37-56,Working,Any,13,Any, Exec-managerial, Husband,Any, Male,0,0,50,Any, >50K
37-56,Working,Any,14,Any, Exec-managerial, Husband,Any, Male,0,0,70,Any, >50K
17-36,Working,Any,9,Any, Transport-moving, Own-child,Any, Male,0,0,40,Any, <=50K
37-56,Working,Any,13,Any, Prof-specialty, Husband,Any, Male,0,0,40,Any, >50K
37-56,Working,Any,9,Any, Other-service, Wife,Any, Female,0,0,20,Any, <=50K
17-36,Working,Any,12,Any, Protective-serv, Husband,Any, Male,0,0,50,Any, <=50K
17-36,Not working,Any,10,Any, ?, Own-child,Any, Male,0,0,20,Any, <=50K
37-56,Working,Any,10,Any, Craft-repair, Not-in-family,Any, Male,0,1741,40,Any, <=50K
37-56,Working,Any,9,Any, Adm-clerical, Husband,Any, Male,0,0,35,Any, <=50K
57-76,Working,Any,9,Any, Adm-clerical, Husband,Any, Male,0,0,45,Any, >50K
17-36,Working,Any,9,Any, Other-service, Not-in-family,Any, Female,0,0,34,Any, <=50K
37-56,Working,Any,12,Any, Tech-support, Husband,Any, Male,0,1977,60,Any, >50K
37-56,Working,Any,9,Any, Adm-clerical, Husband,Any, Male,0,0,40,Any, <=50K
37-56,Working,Any,15,Any, Prof-specialty, Wife,Any, Female,0,0,40,Any, >50K
37-56,Working,Any,13,Any, Adm-clerical, Wife,Any, Female,0,0,40,Any, <=50K
57-76,Working,Any,6,Any, Other-service, Unmarried,Any, Female,0,0,30,Any, <=50K
17-36,Working,Any,10,Any, Adm-clerical, Own-child,Any, Male,0,0,40,Any, <=50K
57-76,Working,Any,10,Any, Transport-moving, Not-in-family,Any, Male,0,0,20,Any, <=50K
37-56,Working,Any,9,Any, Farming-fishing, Husband,Any, Male,0,0,40,Any, >50K
17-36,Working,Any,9,Any, Other-service, Own-child,Any, Female,0,0,40,Any, <=50K
17-36,Working,Any,9,Any, Other-service, Not-in-family,Any, Female,0,0,30,Any, <=50K
37-56,Working,Any,11,Any, Exec-managerial, Not-in-family,Any, Female,0,0,45,Any, <=50K
37-56,Working,Any,4,Any, Craft-repair, Not-in-family,Any, Male,0,0,40,Any, <=50K
17-36,Working,Any,13,Any, Prof-specialty, Own-child,Any, Female,0,0,40,Any, <=50K
37-56,Working,Any,9,Any, Sales, Husband,Any, Male,0,0,60,Any, <=50K
17-36,Working,Any,7,Any, Other-service, Own-child,Any, Male,0,0,12,Any, <=50K
57-76,Working,Any,10,Any, Sales, Husband,Any, Male,4064,0,40,Any, <=50K
17-36,Working,Any,7,Any, Craft-repair, Husband,Any, Male,0,0,40,Any, <=50K
37-56,Working,Any,10,Any, Exec-managerial, Husband,Any, Male,0,0,75,Any, >50K
17-36,Not working,Any,10,Any, ?, Own-child,Any, Male,0,0,24,Any, <=50K
57-76,Working,Any,9,Any, Exec-managerial, Husband,Any, Male,0,0,40,Any, >50K
17-36,Working,Any,13,Any, Prof-specialty, Not-in-family,Any, Female,0,0,45,Any, <=50K
17-36,Working,Any,9,Any, Craft-repair, Wife,Any, Female,0,0,40,Any, >50K
57-76,Working,Any,9,Any, Exec-managerial, Husband,Any, Male,0,0,40,Any, >50K
17-36,Working,Any,5,Any, Other-service, Own-child,Any, Male,1055,0,24,Any, <=50K
37-56,Working,Any,14,Any, Farming-fishing, Husband,Any, Male,2407,0,98,Any, <=50K
17-36,Working,Any,14,Any, Prof-specialty, Own-child,Any, Male,0,0,35,Any, <=50K
17-36,Working,Any,9,Any, Prof-specialty, Own-child,Any, Female,0,0,40,Any, <=50K
37-56,Working,Any,9,Any, Handlers-cleaners, Husband,Any, Male,0,0,40,Any, <=50K
37-56,Working,Any,10,Any, Craft-repair, Husband,Any, Male,7298,0,40,Any, >50K
17-36,Working,Any,10,Any, Exec-managerial, Not-in-family,Any, Female,0,0,40,Any, <=50K
17-36,Working,Any,10,Any, Tech-support, Own-child,Any, Female,0,0,40,Any, <=50K
17-36,Working,Any,10,Any, Machine-op-inspct, Wife,Any, Female,7298,0,48,Any, >50K
17-36,Working,Any,13,Any, Prof-specialty, Not-in-family,Any, Female,0,0,15,Any, <=50K
37-56,Working,Any,10,Any, Craft-repair, Husband,Any, Male,5178,0,40,Any, >50K
17-36,Working,Any,12,Any, Sales, Unmarried,Any, Female,0,0,45,Any, <=50K
57-76,Working,Any,13,Any, Prof-specialty, Not-in-family,Any, Female,0,0,42,Any, <=50K
17-36,Working,Any,9,Any, Handlers-cleaners, Own-child,Any, Male,0,0,40,Any, <=50K
57-76,Working,Any,14,Any, Sales, Husband,Any, Male,15024,0,40,Any, >50K
37-56,Working,Any,15,Any, Prof-specialty, Husband,Any, Male,0,0,60,Any, >50K
37-56,Working,Any,10,Any, Other-service, Not-in-family,Any, Male,0,0,45,Any, <=50K
17-36,Working,Any,13,Any, Exec-managerial, Not-in-family,Any, Female,0,0,40,Any, <=50K
37-56,Working,Any,4,Any, Craft-repair, Husband,Any, Male,0,0,40,Any, <=50K
17-36,Working,Any,13,Any, Prof-specialty, Husband,Any, Male,0,0,45,Any, <=50K
17-36,Working,Any,9,Any, Prof-specialty, Not-in-family,Any, Female,0,0,40,Any, <=50K
17-36,Working,Any,13,Any, Protective-serv, Not-in-family,Any, Male,0,0,56,Any, <=50K
17-36,Working,Any,10,Any, Sales, Own-child,Any, Male,0,0,45,Any, <=50K
17-36,Working,Any,13,Any, Tech-support, Unmarried,Any, Female,0,0,40,Any, <=50K
57-76,Working,Any,9,Any, Transport-moving, Husband,Any, Male,0,0,16,Any, <=50K
